Raesfeld Flughafen  = Raesfeld Airport
Berlin              = Berlin
Bratwurst           = Fried sausage
Hauptstrasse        = Main street
Brot                = Bread
Klimaanlage         = Air conditioning
Rammstein           = Rammstein
Porsche BMW         = Porsche BMW
Biergarten          = Beer garden
Ratskeller          = Basement tavern
Dirndel             = Traditional women's dress
Lederhose           = Leather pants
Schloss             = Castle
wettbewerbsfaehig   = competitive
Mehlhase            = Mehlhase
Gebaeck             = Pastry
Baeckerei           = Bakery
Hund                = Dog
Doener              = Kebab
Apfelkuchen         = Apple pie
Schloss Eltz        = Eltz Castle
